CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.231  |  1.044  |  0.231  |  0.231  
  0.200  |  1.046  |  0.200  |  0.200  
  0.216  |  1.048  |  0.223  |  0.208  
  0.216  |  1.050  |  0.216  |  0.216  
  0.200  |  1.052  |  0.200  |  0.200  
  0.231  |  1.054  |  0.231  |  0.231  
  0.200  |  1.056  |  0.200  |  0.200  
  0.216  |  1.059  |  0.216  |  0.216  
  0.216  |  1.061  |  0.216  |  0.216  
  0.216  |  1.063  |  0.200  |  0.200  
  0.231  |  1.067  |  0.231  |  0.231  
  0.231  |  1.069  |  0.231  |  0.231  
  0.200  |  1.071  |  0.208  |  0.192  
  0.216  |  1.074  |  0.216  |  0.216  
  0.216  |  1.076  |  0.216  |  0.216  
  0.200  |  1.078  |  0.200  |  0.200  
  0.216  |  1.080  |  0.223  |  0.208  
  0.216  |  1.082  |  0.216  |  0.216  
  0.216  |  1.084  |  0.216  |  0.216  
  0.216  |  1.086  |  0.216  |  0.216  
  0.216  |  1.088  |  0.216  |  0.216  
  0.216  |  1.091  |  0.223  |  0.208  
  0.216  |  1.093  |  0.216  |  0.216  
  0.216  |  1.095  |  0.223  |  0.208  
  0.185  |  1.097  |  0.192  |  0.177  
  0.246  |  1.099  |  0.246  |  0.246  
  0.200  |  1.101  |  0.200  |  0.200  
  0.216  |  1.103  |  0.223  |  0.208  
  0.200  |  1.105  |  0.208  |  0.192  
  0.216  |  1.107  |  0.223  |  0.208  
  0.200  |  1.109  |  0.200  |  0.200  
  0.231  |  1.112  |  0.231  |  0.231  
  0.216  |  1.114  |  0.216  |  0.216  
  0.216  |  1.116  |  0.216  |  0.216  
  0.216  |  1.118  |  0.223  |  0.208  
  0.216  |  1.120  |  0.216  |  0.216  
  0.200  |  1.122  |  0.208  |  0.192  
  0.216  |  1.124  |  0.208  |  0.223  
  0.200  |  1.126  |  0.208  |  0.192  
  0.216  |  1.128  |  0.216  |  0.216  
  0.216  |  1.131  |  0.216  |  0.216  
  0.216  |  1.133  |  0.216  |  0.216  
  0.216  |  1.135  |  0.216  |  0.216  
  0.216  |  1.137  |  0.216  |  0.216  
