CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.616  |  1.461  |  0.616  |  0.616  
  0.616  |  1.467  |  0.616  |  0.616  
  0.554  |  1.472  |  0.554  |  0.554  
  0.554  |  1.478  |  0.554  |  0.554  
  0.631  |  1.484  |  0.631  |  0.631  
  0.647  |  1.491  |  0.646  |  0.647  
  0.554  |  1.496  |  0.554  |  0.554  
  0.570  |  1.502  |  0.569  |  0.570  
  0.585  |  1.508  |  0.585  |  0.585  
  0.631  |  1.514  |  0.631  |  0.631  
  0.600  |  1.520  |  0.600  |  0.600  
  0.585  |  1.526  |  0.585  |  0.585  
  0.600  |  1.532  |  0.600  |  0.600  
  0.616  |  1.538  |  0.616  |  0.616  
  0.600  |  1.544  |  0.600  |  0.601  
  0.600  |  1.550  |  0.600  |  0.600  
  0.570  |  1.556  |  0.569  |  0.570  
  0.600  |  1.562  |  0.600  |  0.601  
  0.647  |  1.568  |  0.646  |  0.647  
  0.647  |  1.575  |  0.646  |  0.647  
  0.554  |  1.580  |  0.554  |  0.554  
  0.570  |  1.586  |  0.570  |  0.570  
  0.631  |  1.592  |  0.631  |  0.631  
  0.554  |  1.604  |  0.554  |  0.554  
  0.631  |  1.610  |  0.631  |  0.632  
  0.616  |  1.617  |  0.616  |  0.616  
  0.647  |  1.623  |  0.646  |  0.647  
  0.554  |  1.629  |  0.554  |  0.554  
  0.631  |  1.635  |  0.631  |  0.631  
  0.631  |  1.641  |  0.631  |  0.631  
  0.616  |  1.647  |  0.616  |  0.616  
  0.616  |  1.654  |  0.616  |  0.616  
  0.600  |  1.660  |  0.600  |  0.600  
  0.600  |  1.666  |  0.600  |  0.600  
  0.647  |  1.672  |  0.646  |  0.647  
  0.616  |  1.678  |  0.616  |  0.616  
  0.585  |  1.684  |  0.585  |  0.585  
  0.585  |  1.690  |  0.585  |  0.585  
  0.693  |  1.697  |  0.692  |  0.693  
  0.616  |  1.703  |  0.616  |  0.616  
  0.600  |  1.709  |  0.600  |  0.600  
  0.600  |  1.715  |  0.600  |  0.601  
  0.616  |  1.721  |  0.616  |  0.616  
  0.662  |  1.728  |  0.662  |  0.662  
  0.600  |  1.734  |  0.600  |  0.600  
  0.631  |  1.740  |  0.631  |  0.631  
  0.616  |  1.746  |  0.616  |  0.616  
  0.647  |  1.753  |  0.646  |  0.647  
  0.631  |  1.759  |  0.631  |  0.631  
  0.570  |  1.765  |  0.570  |  0.569  
  0.616  |  1.771  |  0.615  |  0.616  
  0.662  |  1.777  |  0.662  |  0.662  
  0.677  |  1.784  |  0.677  |  0.677  
  0.585  |  1.790  |  0.585  |  0.585  
  0.600  |  1.796  |  0.600  |  0.601  
  0.616  |  1.802  |  0.616  |  0.616  
  0.677  |  1.809  |  0.677  |  0.677  
  0.662  |  1.816  |  0.662  |  0.662  
  0.570  |  1.827  |  0.569  |  0.570  
  0.662  |  1.834  |  0.662  |  0.662  
  0.677  |  1.841  |  0.677  |  0.678  
  0.662  |  1.847  |  0.662  |  0.662  
  0.539  |  1.853  |  0.546  |  0.531  
  0.585  |  1.858  |  0.593  |  0.577  
  0.631  |  1.865  |  0.631  |  0.632  
  0.570  |  1.870  |  0.570  |  0.569  
  0.539  |  1.876  |  0.539  |  0.539  
  0.493  |  1.881  |  0.493  |  0.492  
  0.462  |  1.885  |  0.461  |  0.462  
  0.600  |  1.891  |  0.600  |  0.600  
  0.508  |  1.896  |  0.508  |  0.508  
  0.462  |  1.901  |  0.462  |  0.462  
  0.385  |  1.905  |  0.385  |  0.385  
  0.539  |  1.910  |  0.538  |  0.539  
  0.508  |  1.915  |  0.508  |  0.508  
  0.385  |  1.919  |  0.384  |  0.385  
  0.369  |  1.923  |  0.369  |  0.370  
  0.416  |  1.927  |  0.415  |  0.416  
  0.462  |  1.932  |  0.454  |  0.470  
  0.400  |  1.936  |  0.399  |  0.401  
  0.339  |  1.939  |  0.340  |  0.338  
  0.369  |  1.943  |  0.369  |  0.370  
  0.400  |  1.947  |  0.400  |  0.400  
